,m/z,I,S/N,em,error,C,H,Class
680,309.12845,8969785,63.6,309.12848874729997,3.8747299981878314e-05,23,17,O1
683,309.14966,8491580,60.0,309.1496181161,4.188389999626452e-05,20,21,O3
686,309.20712000000003,50392644,368.2,309.2071329937,1.2993699954222393e-05,18,29,O4
688,309.24355,3424073,22.8,309.24351850249997,3.1497500060595485e-05,19,33,O3
689,309.27994,118718032,870.6,309.2799040113,3.59887000058734e-05,20,37,O2
690,310.08742,4835005,33.1,310.08735221029997,6.778970004006624e-05,21,12,O2N1
692,310.12372,4515009,30.8,310.12373771909995,1.771909995795795e-05,22,16,O1N1
694,310.1449,4605124,31.5,310.14486708789997,3.291210003908418e-05,19,20,O3N1
696,310.1602,27748038,201.6,310.1601232279,7.677209998746548e-05,23,20,N1
697,310.18129,6541001,45.7,310.1812525967,3.740329998436209e-05,20,24,O2N1
701,311.10772000000003,3408711,22.7,311.1077533029,3.330289996483771e-05,22,15,O2
705,311.12887,4277834,29.1,311.1288826717,1.2671700005739694e-05,19,19,O4
706,311.14421,10248012,73.0,311.1441388117,7.118830001218157e-05,23,19,O1
709,311.16533,4350287,29.6,311.1652681805,6.181949999017888e-05,20,23,O3
712,311.22283999999996,208273232,1529.2,311.2227830581,5.694189997029753e-05,18,31,O4
713,311.25915,7135068,50.1,311.2591685669,1.8566899996130815e-05,19,35,O3
714,311.29556,108822368,797.9,311.2955540757,5.92430001233879e-06,20,39,O2
715,312.10291,6009806,41.5,312.1030022747,9.227469996631044e-05,21,14,O2N1
716,312.13948,12160978,86.5,312.13938778349996,9.221650003610193e-05,22,18,O1N1
718,312.17574,30736344,222.2,312.1757732923,3.32922999746188e-05,23,22,N1
722,313.1234,4310103,29.1,313.1234033673,3.367299996170914e-06,22,17,O2
